"","var1","var2","cor","p","case","participant_id"
"154","pm25_ratio","pm1_indoor",0.57,0,"hepa","44241"
"155","pm10_ratio","pm1_indoor",0.41,0,"hepa","44241"
"156","pm1num_ratio","pm1_indoor",0.35,0,"hepa","44241"
"157","pm1_indoor","pm1_outdoor",0.051,6.61e-16,"hepa","44241"
"158","pm1_outdoor","pm1_outdoor",1,0,"hepa","44241"
"159","pm25_indoor","pm1_outdoor",0.052,2.69e-16,"hepa","44241"
"160","pm25_outdoor","pm1_outdoor",0.7,0,"hepa","44241"
"161","pm10_indoor","pm1_outdoor",0.05,2.25e-15,"hepa","44241"
"162","pm10_outdoor","pm1_outdoor",0.068,1.2e-26,"hepa","44241"
"163","pm1num_indoor","pm1_outdoor",0.038,1.43e-09,"hepa","44241"
"164","pm1num_outdoor","pm1_outdoor",0.42,0,"hepa","44241"
"165","pm1_ratio","pm1_outdoor",-0.11,6.42e-66,"hepa","44241"
"166","pm25_ratio","pm1_outdoor",-0.071,2.64e-29,"hepa","44241"
"167","pm10_ratio","pm1_outdoor",-0.0044,0.49,"hepa","44241"
"168","pm1num_ratio","pm1_outdoor",-0.083,3.98e-39,"hepa","44241"
"169","pm1_indoor","pm25_indoor",0.79,0,"hepa","44241"
"170","pm1_outdoor","pm25_indoor",0.052,2.69e-16,"hepa","44241"
"171","pm25_indoor","pm25_indoor",1,0,"hepa","44241"
"172","pm25_outdoor","pm25_indoor",0.028,1.16e-05,"hepa","44241"
"173","pm10_indoor","pm25_indoor",0.77,0,"hepa","44241"
"174","pm10_outdoor","pm25_indoor",0.0071,0.262,"hepa","44241"
"175","pm1num_indoor","pm25_indoor",0.7,0,"hepa","44241"
"176","pm1num_outdoor","pm25_indoor",0.036,2.19e-08,"hepa","44241"
"177","pm1_ratio","pm25_indoor",0.42,0,"hepa","44241"
"178","pm25_ratio","pm25_indoor",0.55,0,"hepa","44241"
"179","pm10_ratio","pm25_indoor",0.75,0,"hepa","44241"
"180","pm1num_ratio","pm25_indoor",0.27,0,"hepa","44241"
"181","pm1_indoor","pm25_outdoor",0.015,0.0199,"hepa","44241"
"182","pm1_outdoor","pm25_outdoor",0.7,0,"hepa","44241"
"183","pm25_indoor","pm25_outdoor",0.028,1.16e-05,"hepa","44241"
"184","pm25_outdoor","pm25_outdoor",1,0,"hepa","44241"
"185","pm10_indoor","pm25_outdoor",0.035,4.61e-08,"hepa","44241"
"186","pm10_outdoor","pm25_outdoor",0.55,0,"hepa","44241"
"187","pm1num_indoor","pm25_outdoor",0.0089,0.163,"hepa","44241"
"188","pm1num_outdoor","pm25_outdoor",0.36,0,"hepa","44241"
"189","pm1_ratio","pm25_outdoor",-0.1,6.46e-60,"hepa","44241"
