"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"65","MF","daycare","2","indoor",8576,5275,9114,12.01,-0.00237772391521435,3.3142564557519e-06,31134.136,TRUE,3839
"66","MF","daycare","2","indoor",8687,4726,9892,149.836,-0.000722098676819888,1.0330431264781e-06,95480.629,FALSE,5166
"67","MF","daycare","2","indoor",10309,9833,10529,11.691,-0.00539644662014159,6.81088903906001e-06,2531.36,TRUE,696
"68","MF","daycare","2","indoor",11037,10981,11104,86.232,-0.0475362533322192,4.37388642280265e-06,2453.806,TRUE,123
"69","MF","daycare","2","indoor",11631,11346,13816,8.102,0.00103873558868629,7.93835997259891e-06,34221.646,TRUE,2470
"70","MF","daycare","2","indoor",11707,10428,12378,38.303,-0.000365586139487653,5.0323760308858e-06,67188.351,FALSE,1950
"71","MF","daycare","2","indoor",14252,14225,14335,9.118,-0.012364421824891,1.63499189609531e-06,710.955,FALSE,110
"72","MF","daycare","2","indoor",14460,14157,16441,5.79,0.000556421596669757,3.41764626686574e-06,10981.044,TRUE,2284
"73","MF","daycare","2","indoor",17826,17198,19053,11.353,-0.000381505435672358,2.12416930544452e-07,8656.979,TRUE,1855
"74","MF","daycare","2","indoor",26,0,727,11.609,-0.0011056186178496,5.21053341321825e-06,6684.798,TRUE,727
"75","MF","daycare","2","indoor",1352,1342,1394,13.14,-0.0112105239275093,1.87601090457574e-06,300.314,FALSE,52
"76","MF","daycare","2","indoor",2102,1804,2257,42.271,-0.0162762433833126,5.30358981071329e-06,24724.648,TRUE,453
"77","MF","daycare","2","indoor",2875,2427,2979,20.857,-0.0213505163835156,3.3574359584561e-06,4698.411,TRUE,552
"78","MF","daycare","2","indoor",2920,2626,3126,14.586,-0.00212328397527934,4.99251992936165e-06,5012.849,FALSE,500
"79","MF","daycare","2","indoor",3204,3067,3269,23.541,-0.0199825778061382,2.48312470340067e-06,2559.185,TRUE,202
"80","MF","daycare","2","indoor",3407,3361,3443,13.811,-0.00979224459951714,4.53205392547618e-06,450.757,FALSE,82
"81","MF","daycare","2","indoor",3629,3624,3669,13.355,-0.014615006849126,2.05836328701017e-06,268.652,TRUE,45
"82","MF","daycare","2","indoor",4753,4487,4861,39.513,-0.0196908948275768,1.30128944841168e-06,15061.393,TRUE,374
"83","MF","daycare","2","indoor",5364,5261,5643,25.018,0.00247881519493697,7.32505617774064e-06,8622.288,TRUE,382
"84","MF","daycare","2","indoor",5366,5028,5909,18.218,-0.000248042638761847,4.28918553813579e-06,5317.724,FALSE,881
"85","MF","daycare","2","indoor",7884,7427,8214,13.502,-0.00350970260505044,1.81138670907501e-06,21874.308,TRUE,787
"86","MF","daycare","2","indoor",8581,8214,9056,33.845,-0.00425263719135694,2.90967349604814e-06,17007.022,TRUE,842
"87","MF","daycare","2","indoor",8687,6378,9816,258.393,-0.00019744880312219,1.32527099692025e-06,136034.063,FALSE,3438
"88","MF","daycare","2","indoor",10303,9857,10533,26.605,-0.00364834793497238,1.91324708739996e-07,6026.554,TRUE,676
"89","MF","daycare","2","indoor",10647,10588,10708,15.628,-0.00943313598683542,4.99305438974088e-06,978.032,TRUE,120
"90","MF","daycare","2","indoor",11038,11016,11078,121.321,-0.0580724158712482,6.58839749447934e-06,2694.541,TRUE,62
"91","MF","daycare","2","indoor",11631,11442,13690,24.589,0.00149404731974765,4.08128267009573e-06,36487.673,TRUE,2248
"92","MF","daycare","2","indoor",11707,10630,12302,41.858,0.000139368368313967,7.97959514732838e-06,95613.768,FALSE,1672
"93","MF","daycare","2","indoor",13721,13714,13784,14.825,-0.0143516313087346,6.28505411180785e-06,454.593,TRUE,70
"94","MF","daycare","2","indoor",14172,14151,14285,13.661,-0.00850602140231229,1.51425071955977e-06,1407.385,TRUE,134
"95","MF","daycare","2","indoor",14252,14225,14343,39.115,-0.0188995585974762,2.11242436857436e-06,2413.42,FALSE,118
"96","MF","daycare","2","indoor",14757,14723,14821,15.154,-0.00486535155783104,1.82421731751082e-06,982.244,FALSE,98
"97","MF","daycare","2","indoor",15975,15261,16379,34.135,-0.00223594412167805,3.82710165457288e-06,11487.664,TRUE,1118
"98","MF","daycare","2","indoor",17067,17029,17104,22.289,-0.00495144289786555,6.52170353134745e-06,1162.666,TRUE,75
"99","MF","daycare","2","indoor",17827,17310,18891,15.216,-0.000219124682749058,1.99854779506651e-06,8926.358,TRUE,1581
"100","MF","daycare","2","indoor",18899,18891,19069,11.886,7.39089445250212e-06,2.52884570116625e-06,1232.406,TRUE,178
"101","MF","daycare","6","indoor",543,474,858,11.283,-0.00704628107963517,4.87135135807694e-06,4066.994,TRUE,384
"102","MF","daycare","6","indoor",1718,1684,1812,5.722,-0.0172926968832573,2.8432635308338e-06,467.473,TRUE,128
"103","MF","daycare","6","indoor",2020,1633,4433,27.84,-0.000414766846676701,5.79623343052367e-06,20852.061,FALSE,2800
"104","MF","daycare","6","indoor",4929,4220,6152,14.638,-0.000228046569582687,4.90067509240421e-06,15272.263,TRUE,1932
"105","MF","daycare","6","indoor",6102,4533,9782,94.637,-0.000741981361053226,9.0215038441335e-06,94427.381,FALSE,5249
"106","MF","daycare","6","indoor",8166,6904,11888,35.84,-8.09473518239858e-05,9.71344733482225e-06,41946.179,TRUE,4984
"107","MF","daycare","6","indoor",10345,10224,10613,20.646,-0.0118544790856265,1.44116043341719e-06,5046.007,FALSE,389
"108","MF","daycare","6","indoor",11937,11802,12937,17.021,-0.00183652358818285,6.69099214122741e-06,10209.439,FALSE,1135
"109","MF","daycare","6","indoor",13415,13040,14162,91.195,-0.00874144249995165,1.68715754561877e-06,15734.526,FALSE,1122
"110","MF","daycare","6","indoor",14435,11936,17880,38.24,0.0001329785757144,8.33084190919331e-06,59349.524,TRUE,5944
"111","MF","daycare","6","indoor",14550,14427,15157,6.859,-0.00156397605546077,1.75918415206084e-06,2344.798,FALSE,730
"112","MF","daycare","6","indoor",17559,15157,21270,15.216,-0.000108527582796236,8.66983812375505e-06,45708.493,FALSE,6113
"113","MF","daycare","6","indoor",625,470,1022,19.763,-0.00424300184712226,2.30435458886016e-06,6949.199,TRUE,552
"114","MF","daycare","6","indoor",1718,1684,1812,5.982,-0.0149439965593607,3.93028941264781e-06,502.399,TRUE,128
"115","MF","daycare","6","indoor",2025,1843,4375,34.87,-0.000485173243747737,6.15874187408268e-06,23437.98,FALSE,2532
"116","MF","daycare","6","indoor",5642,4220,6311,17.381,-0.00370518294360098,3.81757949390804e-06,17781.436,TRUE,2091
"117","MF","daycare","6","indoor",6102,4579,9754,97.43,-0.000590064137436504,7.99644646914243e-06,100034.936,FALSE,5175
"118","MF","daycare","6","indoor",8495,6900,15133,41.047,8.61631892835342e-05,9.31409118255547e-06,87515.614,TRUE,8233
"119","MF","daycare","6","indoor",10337,10224,10664,59.377,-0.0132738666565268,5.7383144018442e-06,12618.756,FALSE,440
"120","MF","daycare","6","indoor",11937,11712,12833,18.637,-0.00182962732802933,4.31842522854487e-06,11438.846,FALSE,1121
"121","MF","daycare","6","indoor",13415,13040,14162,123.203,-0.00907546019441218,2.47110358310423e-06,19561.026,FALSE,1122
"122","MF","daycare","6","indoor",17032,15157,17880,21.612,0.000759503749304083,3.28392563144379e-06,31822.119,TRUE,2723
"123","MF","daycare","6","indoor",17289,15795,17905,16.596,-0.00182659209475996,3.59350411403149e-06,20549.142,FALSE,2110
"124","MF","daycare","6","indoor",19339,17905,21056,16.911,-0.00123204844530128,1.23076908367062e-06,28312.709,FALSE,3151
"125","MF","daycare","6","indoor",2,0,60,16.13,-0.00641053814920752,2.36463925731693e-06,362.125,FALSE,60
"126","MF","daycare","6","indoor",527,472,1006,57.264,-0.000550632771180816,5.08321317424752e-06,26480.775,TRUE,534
"127","MF","daycare","6","indoor",1952,1931,2569,192.857,-0.0109900673685017,6.9263160455291e-06,19775.381,FALSE,638
"128","MF","daycare","6","indoor",3203,2605,4115,27.678,-0.0010902374818603,8.5748849805703e-06,14191.308,FALSE,1510
"129","MF","daycare","6","indoor",3412,3244,3430,11.783,-0.0643733158730289,6.0075978550902e-06,5018.877,TRUE,186
"130","MF","daycare","6","indoor",3665,3615,3690,14.64,-0.022492911785906,6.48002233972433e-06,405.86,TRUE,75
"131","MF","daycare","6","indoor",3886,3856,3916,11.96,-0.0111126276756478,2.88939609037892e-06,278.339,TRUE,60
"132","MF","daycare","6","indoor",5601,4219,6293,104.056,-0.00296439566304854,7.81027865192368e-06,26474.514,TRUE,2074
"133","MF","daycare","6","indoor",6102,4869,9556,97.995,-0.000262406690933402,8.43909355937751e-06,118631.269,FALSE,4687
"134","MF","daycare","6","indoor",6356,6293,6463,36.13,-0.0221490639301636,5.41285303752367e-07,1942.769,TRUE,170
"135","MF","daycare","6","indoor",6634,6592,6731,16.205,-0.00609055615561754,1.62759326469774e-06,1317.542,TRUE,139
"136","MF","daycare","6","indoor",8437,6900,9025,810.591,-0.0291634802510833,2.71689778022938e-06,83394.786,TRUE,2125
"137","MF","daycare","6","indoor",9194,9069,10141,25.375,-0.00041149546168497,3.49486415368162e-06,11712.784,TRUE,1072
"138","MF","daycare","6","indoor",10325,10228,10840,242.379,-0.0165669051121822,8.70103644924484e-06,54938.968,FALSE,612
"139","MF","daycare","6","indoor",11053,10858,11120,40.772,-0.0158233922755092,8.6136925478727e-07,4897.174,FALSE,262
"140","MF","daycare","6","indoor",11406,11405,11431,19.703,-0.0210414414853836,5.44187479116115e-07,284.239,FALSE,26
"141","MF","daycare","6","indoor",11615,10169,12238,42.775,-0.00153642420682051,1.42958300778757e-06,29547.403,TRUE,2069
"142","MF","daycare","6","indoor",11803,11708,12659,34.864,-0.00113084214301339,2.72156062920521e-06,14506.155,FALSE,951
"143","MF","daycare","6","indoor",13415,13108,14054,262.085,-0.00895882417438284,7.94131272586053e-06,36751.163,FALSE,946
"144","MF","daycare","6","indoor",14565,14262,14736,22.158,-0.00447651865986213,6.21075392368096e-07,4870.96,FALSE,474
"145","MF","daycare","6","indoor",14838,12274,15017,67.721,-0.00537822843194773,2.71808631183368e-06,46912.92,TRUE,2743
"146","MF","daycare","6","indoor",15058,15029,15061,11.348,-0.797524444693584,2.64001177155603e-06,149.232,TRUE,32
"147","MF","daycare","6","indoor",16639,15895,17905,41.86,-0.00053335064623009,2.40218945870137e-06,31908.6,FALSE,2010
"148","MF","daycare","6","indoor",17820,15165,17880,78.55,-0.0196735410543038,2.4232588264335e-07,48022.351,TRUE,2715
"149","MF","daycare","6","indoor",19214,18066,20568,53.144,-0.00160571609138999,4.88049942160587e-06,37616.033,FALSE,2502
"150","MF","daycare","5","indoor",18,0,65,5.155,-0.0349963559975957,9.74260482612656e-06,150.76,TRUE,65
"151","MF","daycare","5","indoor",457,240,1078,11.534,-0.00295254745279278,8.11829665392183e-06,3619.571,FALSE,838
"152","MF","daycare","5","indoor",743,537,1098,7.514,-0.0045244723376496,2.12697129887908e-06,1966.153,TRUE,561
"153","MF","daycare","5","indoor",1273,1249,2889,54.295,-0.000607471372872709,2.30966971118804e-06,9788.088,TRUE,1640
"154","MF","daycare","5","indoor",3264,1148,6747,17.023,-0.000356953639265618,4.18351292051687e-06,32561.802,FALSE,5599
"155","MF","daycare","5","indoor",5091,4446,5512,6.141,-0.00223031327549267,6.50782827351909e-06,3580.106,TRUE,1066
"156","MF","daycare","5","indoor",7979,7556,8273,4.947,-0.00342497560459683,1.95127111044873e-07,1998.302,TRUE,717
"157","MF","daycare","5","indoor",9166,8906,9234,4.869,0.000102394924709422,3.62871231421981e-07,984.827,TRUE,328
"158","MF","daycare","5","indoor",13623,7097,17787,35.869,-0.000386968626731546,1.4231971980768e-06,76348.384,FALSE,10690
"159","MF","daycare","5","indoor",20756,19882,20968,19.013,-0.00594687354615077,6.18775423659068e-06,5761.992,FALSE,1086
"160","MF","daycare","5","indoor",21724,21302,23732,46.2,-0.000833788448990454,4.64082960841679e-06,14454.082,FALSE,2430
"161","MF","daycare","5","indoor",24613,24004,25030,7.42,-0.00217463933873202,2.2212415131246e-06,4153.548,FALSE,1026
"162","MF","daycare","5","indoor",27578,27137,27736,8.891,-0.00844742411958984,3.40593694720501e-06,3023.814,FALSE,599
"163","MF","daycare","5","indoor",28004,27999,28224,78.43,-0.0164248029170627,9.00495245710798e-06,2531.398,FALSE,225
"164","MF","daycare","5","indoor",30830,30796,30950,19.416,-0.0253274535001068,1.29601168257436e-06,1078.588,FALSE,154
"165","MF","daycare","5","indoor",18,0,77,6.074,-0.0244506632727049,3.51568678432695e-06,216.776,TRUE,77
"166","MF","daycare","5","indoor",457,260,924,11.616,-0.00347672222669784,6.76800300652345e-06,3295.749,FALSE,664
"167","MF","daycare","5","indoor",743,542,1057,7.735,-0.00430980174000336,4.81438348092352e-06,1964.786,TRUE,515
"168","MF","daycare","5","indoor",1113,1085,1129,8.726,-0.0704047070129631,5.55723705867453e-06,138.258,FALSE,44
"169","MF","daycare","5","indoor",1273,1249,2889,55.316,-0.00035336616646982,9.76181423068927e-07,12073.257,TRUE,1640
"170","MF","daycare","5","indoor",4983,1396,5734,33.806,-0.00522733022364461,5.72292561311711e-06,30201.635,FALSE,4338
"171","MF","daycare","5","indoor",5091,4452,5476,6.263,-0.00194264378084744,9.2094982618329e-06,3612.835,TRUE,1024
"172","MF","daycare","5","indoor",6062,5734,6707,7.876,-0.00109933693780719,2.63713426504273e-07,4184.705,FALSE,973
"173","MF","daycare","5","indoor",6814,6798,6874,7.592,-0.0201834994500248,5.72250860012819e-06,296.923,FALSE,76
"174","MF","daycare","5","indoor",11948,7187,17698,60.527,-0.000173314454246372,7.54450036169586e-06,84152.444,FALSE,10511
"175","MF","daycare","5","indoor",20443,19944,21004,21.389,-0.00148766609649676,4.39537883402911e-06,6582.222,FALSE,1060
"176","MF","daycare","5","indoor",21724,21395,22567,53.914,-0.00395390558083826,8.98087912318839e-06,8903.202,FALSE,1172
"177","MF","daycare","5","indoor",23150,22567,23722,11.381,-0.00249754178270911,1.24559965180502e-06,6301.593,FALSE,1155
"178","MF","daycare","5","indoor",24610,24199,24970,8.231,-0.00223789100854596,9.6963281623959e-06,3644.6,FALSE,771
"179","MF","daycare","5","indoor",27558,27149,27736,24.579,-0.0134884019394595,5.51462388627889e-06,3882.369,FALSE,587
"180","MF","daycare","5","indoor",28004,27999,28215,133.593,-0.0181964476084503,3.47664609047265e-06,3928.582,FALSE,216
"181","MF","daycare","5","indoor",30830,30796,30952,20.005,-0.0209084281429258,4.8774362138281e-06,1207.556,FALSE,156
"182","MF","daycare","5","indoor",17,0,123,15.254,-0.00764407704504998,1.55344580908466e-06,897.463,TRUE,123
"183","MF","daycare","5","indoor",283,273,328,42.853,-0.0445867854349869,2.36245366334396e-06,689.112,TRUE,55
"184","MF","daycare","5","indoor",524,271,633,13.123,-0.00554178064704216,5.4886720312319e-06,2449.293,FALSE,362
"185","MF","daycare","5","indoor",887,651,976,13.616,-0.0103250312601577,1.07235131001337e-06,1751.588,TRUE,325
"186","MF","daycare","5","indoor",971,969,981,24.856,-0.285511474338108,2.6947418959377e-06,101.242,FALSE,12
"187","MF","daycare","5","indoor",1189,1149,1223,20.567,-0.0285887842804799,1.07384448781512e-06,741.637,FALSE,74
"188","MF","daycare","5","indoor",1274,1257,2587,55.415,-0.000304839143283845,8.25639151071375e-06,13132.327,TRUE,1330
"189","MF","daycare","5","indoor",1440,1402,2443,18.285,-0.000365011615741517,5.39296521046006e-06,6856.811,FALSE,1041
"190","MF","daycare","5","indoor",2741,2653,2870,60.971,-0.0174960157589733,8.86971248648121e-06,2455.525,TRUE,217
"191","MF","daycare","5","indoor",2786,2505,4786,35.758,-0.0004742190278886,1.12435937385689e-06,20406.555,FALSE,2281
"192","MF","daycare","5","indoor",4328,4312,4385,18.358,-0.0202323785862081,5.7381676565602e-06,414.252,TRUE,73
"193","MF","daycare","5","indoor",4983,4791,5348,37.303,-0.00857192958246788,5.27914782384538e-06,5128.312,FALSE,557
"194","MF","daycare","5","indoor",5440,5424,5484,20.216,-0.0113989688124517,6.104601293412e-07,418.662,FALSE,60
"195","MF","daycare","5","indoor",5648,5647,5650,17.325,-3.00525566780603,4.33933406505998e-06,19.793,TRUE,3
"196","MF","daycare","5","indoor",6255,6246,6257,15.938,-1.65799439674824,9.34772156468998e-06,43.257,TRUE,11
"197","MF","daycare","5","indoor",6471,6276,6633,23.827,-0.0106479638576775,5.4002559926661e-06,1620.909,TRUE,357
"198","MF","daycare","5","indoor",6814,6802,6867,17.616,-0.0374152426965733,4.83504842477263e-06,586.505,FALSE,65
"199","MF","daycare","5","indoor",6955,6935,6958,19.087,-1.79603088751513,9.6522330170165e-06,145,TRUE,23
"200","MF","daycare","5","indoor",7221,7220,7223,16.29,-2.88113763201798,1.68253921234389e-06,18.243,TRUE,3
"201","MF","daycare","5","indoor",7805,7220,7982,13.381,-0.00327269299498592,7.44105696116996e-06,4437.05,FALSE,762
"202","MF","daycare","5","indoor",7875,7775,8167,12.476,-0.00238618414997862,4.20806714424769e-06,1509.998,TRUE,392
"203","MF","daycare","5","indoor",8152,8045,8365,21.353,-0.00620975858574018,3.56987025246864e-07,3351.384,FALSE,320
"204","MF","daycare","5","indoor",8235,8234,8240,16.1,-1.57694065691365,6.98294296960959e-06,27.095,TRUE,6
"205","MF","daycare","5","indoor",8484,8472,8494,23.514,-0.761326388408612,6.9088176867707e-06,141.787,TRUE,22
"206","MF","daycare","5","indoor",8550,8481,8614,39.138,-0.0419474349626667,6.15929631164647e-06,1392.017,FALSE,133
"207","MF","daycare","5","indoor",8738,8737,8740,17.519,-2.38762694241554,1.67432349051016e-06,21.032,TRUE,3
"208","MF","daycare","5","indoor",10420,8770,11357,35.735,-0.000819307585052005,3.15737760050937e-06,25477.198,FALSE,2587
"209","MF","daycare","5","indoor",11948,11480,16469,82.743,-0.000187671766249346,3.24331257920013e-06,54305.008,FALSE,4989
"210","MF","daycare","5","indoor",17480,16614,17650,14.673,-0.00380622301237214,7.65060112357771e-07,6170.266,FALSE,1036
"211","MF","daycare","5","indoor",18085,18054,18160,23.17,-0.00931572002083343,2.0274016570966e-06,996.738,FALSE,106
"212","MF","daycare","5","indoor",18306,18291,18419,67.534,-0.0320260179685416,6.04168462316074e-06,2017.525,FALSE,128
"213","MF","daycare","5","indoor",19547,19473,19605,18.995,-0.0176872405362777,4.59731222542822e-07,1092.303,FALSE,132
"214","MF","daycare","5","indoor",20438,20173,20635,30.597,-0.0121617894389103,6.45104499993375e-06,3957.313,FALSE,462
"215","MF","daycare","5","indoor",20872,20738,20958,44.902,-0.004404300771947,4.58341706536453e-06,2617.987,FALSE,220
"216","MF","daycare","5","indoor",21130,21122,21147,22.044,-0.0697741811727978,4.61504429193295e-06,272.51,FALSE,25
"217","MF","daycare","5","indoor",21724,21605,22478,57.433,-0.00193208104607722,7.53002851365414e-06,9693.396,FALSE,873
"218","MF","daycare","5","indoor",22614,22589,22747,46.276,-0.0273338007675182,8.46065359021618e-06,1571.955,FALSE,158
"219","MF","daycare","5","indoor",23292,22789,23475,16.732,-0.00514037644043784,5.99548389977159e-07,4807.429,FALSE,686
"220","MF","daycare","5","indoor",23684,23639,23710,15.976,-0.00460777544509144,9.74588037239419e-07,473.319,FALSE,71
"221","MF","daycare","5","indoor",27558,27159,27697,29.255,-0.0150520673519199,2.79383697964826e-07,4119.184,FALSE,538
"222","MF","daycare","5","indoor",28004,27998,28154,236.566,-0.0204235176808364,2.68018891848239e-06,5477.235,FALSE,156
"223","MF","daycare","5","indoor",28342,28326,28372,18.697,-0.0160164827574752,3.43914969065426e-07,512.498,FALSE,46
"224","MF","daycare","5","indoor",29008,28753,29084,17.497,-0.0175943375823968,3.98778845793366e-06,1582.95,FALSE,331
