"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"11","business_s2","indoor","pm10",FALSE,-0.0351314882208068,-0.0214240229116009,-0.309611504772223,-0.00627254037764127,4.92414,4.573,2.7707,7.6015,62.5,64,32,192,2490.2525,20,5821.1437
"12","business_s2","indoor","pm10",TRUE,-0.0792998063549369,-0.0844244502314435,-0.139975473817808,-0.00144198891346593,4.95404285714286,3.979,1.6399,11.9578,42,36,24,120,1045.07325,14,2881.0003
"13","principal_s1","indoor","pm1",FALSE,-0.00322906001292524,-0.00210896996082463,-0.0058614965783733,-0.00186296945060639,6.64838,6.9281,4.1755,9.3138,500.2,400,50,975,4968.4181,5,13300.8074
"14","principal_s1","indoor","pm1",TRUE,-0.00643925410427536,-0.00319403019652021,-0.0361057499321109,-0.00102820665383015,2.1443343338221,1.19060558790083,0.838669974952254,9.98908670279921,316.285714285714,176,88,1496,3612.09668449878,14,8238.4025
"15","principal_s1","indoor","pm25",FALSE,-0.00255629674389249,-0.00227265298383044,-0.00461727780149567,-0.00158541065845277,6.63268333333333,6.68215,4.2591,9.5625,416.833333333333,287.5,75,901,5628.9819,6,14043.0355
"16","principal_s1","indoor","pm25",TRUE,-0.00524468183872462,-0.00254729712576645,-0.0341018202181989,-0.000879610688832059,2.31546189859697,1.32017217150866,1.0051082811395,10.9317413378242,295.2,176,88,1496,4168.37842959956,15,9067.3822
"17","principal_s1","indoor","pm10",FALSE,-0.0086999163740529,-0.00301797389828391,-0.047153711145432,-0.000154831313377623,8.953825,7.75735,4.303,22.774,312.625,175,75,801,9038.6393,8,15500.1214
"18","principal_s1","indoor","pm10",TRUE,-0.0081568572762841,-0.0052934745948385,-0.0346507978708816,-0.000656230323428123,3.05772232805226,2.01909826345496,1.4409980339305,12.1599374296672,210.857142857143,132,72,1144,4892.65136368754,21,11439.4632
"19","principal_s2","indoor","pm1",FALSE,-0.0035389868900157,-0.00260823152987556,-0.0090791682313096,-0.000151303156224027,4.36483636363636,3.8425,2.7754,6.0478,202.909090909091,96,48,576,6137.87275,11,10275.1077
"20","principal_s2","indoor","pm1",TRUE,-0.00457172518979797,-0.00371902699244902,-0.020043608709393,-0.000634948549788535,1.82350952549831,1.0159459187692,0.899543138980021,6.55707028740582,370.5,176,88,1584,2916.1999684692,12,7083.4383
"21","principal_s2","indoor","pm25",FALSE,-0.00332179175753624,-0.00232862497309812,-0.00773629116338995,-0.000443058473324581,4.81554,4.8148,3.1587,6.6155,223.2,120,48,624,6513.1319,10,11059.1608
"22","principal_s2","indoor","pm25",TRUE,-0.00437183658731422,-0.00364124680879837,-0.0189835763620038,-0.000151986244754709,2.04883084983985,1.3575193657546,0.965983989870412,7.0914375919052,370.5,198,88,1584,3251.94310114522,12,7860.5307
"23","principal_s2","indoor","pm10",FALSE,-0.00919864317297783,-0.00674376036568201,-0.0365360528510102,-1.20134550525288e-05,7.76182857142857,5.71835,3.9881,31.789,154.285714285714,84,48,552,8494.3732,14,13418.0868
"24","principal_s2","indoor","pm10",TRUE,-0.0122008995212795,-0.00611550224549695,-0.0854251019674033,-0.000739514224466205,3.42246415686483,2.12491827766176,1.22872382538569,8.1294,296.4,220,88,1188,4160.66581145176,15,10625.3358
"25","superintendent_assist","indoor","pm1",FALSE,-0.00551365708330244,-0.00384524164314122,-0.0128248169688397,-0.00168459378367729,3.75083333333333,3.4599,2.6989,5.8636,131.866666666667,100,50,325,3252.5313,15,7889.508
"26","superintendent_assist","indoor","pm1",TRUE,-0.00597270708254891,-0.00331912994834336,-0.0397331688090126,-0.000896777374674744,1.68408077814676,1.1027358142268,0.780011329969035,9.02628213972926,244.882352941176,159,88,968,2618.21654846822,17,6471.9303
"27","superintendent_assist","indoor","pm25",FALSE,-0.00554183032462909,-0.00413939660074825,-0.0128989071468082,-0.00168726426271556,3.87166428571429,3.5085,2.7962,6.9285,141.285714285714,100,50,603,2989.3111,14,8431.2703
"28","superintendent_assist","indoor","pm25",TRUE,-0.00564641350970221,-0.00344015451362258,-0.0366204953755959,-0.000814984222428447,1.79870555039868,1.17331180501612,0.844905003059228,9.51197424871725,238.611111111111,167.5,88,1012,2897.13748743138,18,7208.9547
"29","superintendent_assist","indoor","pm10",FALSE,-0.0125534540760523,-0.0107626584931173,-0.0342604422558999,7.36003782962668e-05,5.49765714285714,5.4571,2.8155,8.353,135.928571428571,100,50,550,5519.3026,14,9668.3971
"30","superintendent_assist","indoor","pm10",TRUE,-0.00890588291436514,-0.00527764017272302,-0.0358736662053134,-0.000245226212822516,2.5671857071803,1.77606398715153,1.04875523598731,10.5305036374386,149.033333333333,132,88,484,4642.21613497632,30,9989.5218
