"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"40","RH","classroom","business_s1","indoor",573,485,617,6.53739764261436,-0.0323539934649903,3.74905873875792e-06,168.933103831432,TRUE,132
"41","RH","classroom","business_s1","indoor",661,617,705,1.47694742382395,-0.0350854944062594,1.06330241408393e-06,36.7052018167195,TRUE,88
"42","RH","classroom","business_s1","indoor",1426,1326,1501,3.7766940608525,-0.00722930481733832,2.06489625702204e-07,221.096860430835,FALSE,175
"43","RH","classroom","business_s1","indoor",1526,1501,1551,4.23555916389787,-0.0154884880696736,6.27292111498879e-06,92.2216007368506,FALSE,50
"44","RH","classroom","business_s1","indoor",1576,1551,1601,3.23844990342856,-0.00800625281896323,2.44201204949206e-07,76.5347611496582,FALSE,50
"45","RH","classroom","business_s1","indoor",1626,1601,1676,4.08550450622825,-0.0109228416580975,2.17060577663793e-06,172.18476125637,FALSE,75
"46","RH","classroom","business_s1","indoor",1876,1801,1901,4.47156467819353,-0.0318542790234008,6.45000848492232e-06,82.8695909276932,FALSE,100
"47","RH","classroom","business_s1","indoor",1976,1901,2001,4.75384277539928,-0.0261333244185378,1.4894676397694e-06,92.985036806663,FALSE,100
"48","RH","classroom","business_s1","indoor",2026,2001,2051,3.23516780436447,-0.0057336124219331,5.02536371378388e-10,78.4871192256624,FALSE,50
"49","RH","classroom","business_s1","indoor",2076,2051,2151,3.98481263444062,-0.00396890142559921,7.73696043171462e-07,260.612028856945,FALSE,100
"50","RH","classroom","business_s1","indoor",2176,2151,2251,3.66208486130006,-0.00532171980376539,7.86125864713881e-08,235.720457903709,FALSE,100
"51","RH","classroom","business_s1","indoor",2276,2251,2351,3.16829122816428,-0.00545119923623127,4.33712324244192e-06,200.747901197528,FALSE,100
"52","RH","classroom","business_s1","indoor",2376,2351,2401,2.79241830847482,-0.00872646177565979,3.42504479329318e-07,65.4567338670261,FALSE,50
"53","RH","classroom","business_s1","indoor",2501,2451,2526,3.50297207947046,-0.0152494567296434,5.80274702948508e-06,76.4637137372798,FALSE,75
"54","RH","classroom","business_s1","indoor",2551,2526,2576,5.5755438316523,-0.0166239415679526,9.02430278355919e-06,119.958957871087,FALSE,50
"55","RH","classroom","business_s2","indoor",33,17,49,4.125,-0.0129368021589033,2.2319765338085e-07,63.54345,FALSE,32
"56","RH","classroom","business_s2","indoor",97,1,157,7.4705,-0.0463948189853592,6.93870531747182e-08,173.51955,TRUE,156
"57","RH","classroom","business_s2","indoor",129,49,193,6.1298,-0.015648563418812,4.85118250735518e-06,241.1812,FALSE,144
"58","RH","classroom","business_s2","indoor",181,157,205,1.2422,-0.0306032167040935,2.06862399489216e-06,23.27005,TRUE,48
"59","RH","classroom","business_s2","indoor",209,193,241,3.2775,-0.0138035193003768,3.46443389892415e-06,95.2192,FALSE,48
"60","RH","classroom","business_s2","indoor",265,229,277,4.1673,-0.127903696037606,2.18536687183606e-06,29.94745,TRUE,48
"61","RH","classroom","business_s2","indoor",273,241,289,2.9317,-0.00607268824018322,7.01071799881239e-08,47.52945,FALSE,48
"62","RH","classroom","business_s2","indoor",337,289,353,3.7645,-0.0419630194779428,2.06641901316568e-06,47.8091,FALSE,64
"63","RH","classroom","business_s2","indoor",337,325,361,2.5896,-0.0658896576250577,6.35398333880491e-07,33.2211,TRUE,36
"64","RH","classroom","business_s2","indoor",397,385,409,4.0145,-0.131028267696303,3.30382883121938e-06,28.49795,TRUE,24
"65","RH","classroom","business_s2","indoor",401,353,481,3.8954,-0.00956559662975849,1.56047165483271e-07,218.7254,FALSE,128
"66","RH","classroom","business_s2","indoor",457,409,481,3.3616,-0.0799423919324546,1.35474384952184e-06,40.3051,TRUE,72
"67","RH","classroom","business_s2","indoor",529,513,545,2.7561,-0.0342808642570878,4.62302016767178e-07,36.7251,FALSE,32
"68","RH","classroom","business_s2","indoor",565,517,601,1.8432,-0.0420524133484142,3.42553997078708e-06,34.2359,TRUE,84
"69","RH","classroom","business_s2","indoor",637,601,673,2.6255,-0.0468338715498297,3.05359998512608e-06,44.72165,TRUE,72
"70","RH","classroom","business_s2","indoor",641,625,657,3.0015,-0.0239431398158969,6.51839951527227e-06,42.8043,FALSE,32
"71","RH","classroom","business_s2","indoor",721,705,753,2.7518,-0.0132963741112894,1.63729969944563e-06,79.52965,FALSE,48
"72","RH","classroom","business_s2","indoor",733,721,745,11.7559,-0.14362133975764,2.56554340433915e-06,79.4456,TRUE,24
"73","RH","classroom","business_s2","indoor",785,753,833,3.1864,-0.00836637897479876,5.43648630321261e-07,124.96105,FALSE,80
"74","RH","classroom","business_s2","indoor",817,805,853,2.0428,-0.041038231888724,7.92804681327543e-06,41.1493,TRUE,48
"75","RH","classroom","business_s2","indoor",913,889,925,1.5697,-0.0837766528985616,2.05491834728276e-06,13.48685,TRUE,36
"76","RH","classroom","business_s2","indoor",913,897,929,5.1636,-0.0400297135901534,1.45539438013723e-06,66.36375,FALSE,32
"77","RH","classroom","business_s2","indoor",973,961,985,1.5369,-0.0879627042311197,3.35727575733222e-06,12.97465,TRUE,24
"78","RH","classroom","business_s2","indoor",1009,993,1057,6.2785,-0.0204644331671191,4.77124542842521e-07,183.09575,FALSE,64
"79","RH","classroom","business_s2","indoor",1081,1057,1093,1.8416,-0.0678408177876323,9.69249963028863e-06,16.9507,TRUE,36
"80","RH","classroom","business_s2","indoor",1089,1057,1105,2.8748,-0.0342245313590091,4.65388819147873e-07,38.32055,FALSE,48
"81","RH","classroom","business_s2","indoor",1153,1137,1185,3.5043,-0.0184869480969141,2.21707890763465e-06,82.5558,FALSE,48
"82","RH","classroom","business_s2","indoor",1165,1117,1189,11.6612,-0.145098286612114,7.9182331287292e-06,89.68875,TRUE,72
"83","RH","classroom","business_s2","indoor",1233,1217,1249,2.9748,-0.00805060699393333,3.49315653365702e-08,47.51075,FALSE,32
"84","RH","classroom","business_s2","indoor",1329,1249,1377,6.6208,-0.0187550821629739,3.87328445788821e-06,200.3094,FALSE,128
"85","RH","classroom","business_s2","indoor",1393,1377,1441,4.1448,-0.0111429593244426,3.1254839618252e-07,167.4502,FALSE,64
"86","RH","classroom","business_s2","indoor",1457,1441,1473,3.4275,-0.0127007330406539,2.3538724485553e-07,52.88955,FALSE,32
"87","RH","classroom","business_s2","indoor",1537,1521,1553,3.8261,-0.0248877663229779,7.93516658584677e-06,54.21725,FALSE,32
"88","RH","classroom","business_s2","indoor",1649,1617,1665,4.552,-0.0292300060362571,1.79603662307564e-07,62.66965,FALSE,48
"89","RH","classroom","business_s2","indoor",33,17,49,4.2833,-0.0124753367418279,1.92919661442426e-07,66.20395,FALSE,32
"90","RH","classroom","business_s2","indoor",97,1,157,7.8317,-0.0463546540059221,7.75205590933063e-07,184.2163,TRUE,156
"91","RH","classroom","business_s2","indoor",129,49,193,6.3009,-0.0148620658016136,2.24622401484487e-06,254.1872,FALSE,144
"92","RH","classroom","business_s2","indoor",181,157,205,1.3584,-0.0302337710223773,7.9483012737824e-07,25.29425,TRUE,48
"93","RH","classroom","business_s2","indoor",209,193,241,3.4281,-0.0136004040522663,1.56327375923613e-06,98.48425,FALSE,48
"94","RH","classroom","business_s2","indoor",265,229,277,4.2347,-0.124977081650281,1.47585440553141e-06,30.784,TRUE,48
"95","RH","classroom","business_s2","indoor",273,241,289,2.9838,-0.00440820096695922,7.20483415553804e-06,48.99655,FALSE,48
"96","RH","classroom","business_s2","indoor",337,289,353,3.8257,-0.0400118428245488,1.45443072231439e-06,49.1742,FALSE,64
"97","RH","classroom","business_s2","indoor",337,325,361,2.7039,-0.0631242377822471,4.76577281353709e-07,35.46765,TRUE,36
"98","RH","classroom","business_s2","indoor",397,385,409,4.0571,-0.130684341877773,3.16500214616167e-06,28.8392,TRUE,24
"99","RH","classroom","business_s2","indoor",401,353,481,4.0038,-0.00944686259160775,8.21436449334802e-06,223.9139,FALSE,128
"100","RH","classroom","business_s2","indoor",457,409,481,3.4364,-0.0786554923176931,4.01396017898859e-06,41.4189,TRUE,72
"101","RH","classroom","business_s2","indoor",529,513,545,2.7867,-0.0320241874471603,2.79937906874811e-07,37.67455,FALSE,32
"102","RH","classroom","business_s2","indoor",565,541,601,1.9048,-0.0414851828635056,3.47568563295881e-07,36.1783,TRUE,60
"103","RH","classroom","business_s2","indoor",637,625,673,2.6925,-0.0405341586800143,5.55407866350525e-06,49.85995,TRUE,48
"104","RH","classroom","business_s2","indoor",641,625,657,3.0336,-0.02433778108624,7.06435729740156e-06,43.14685,FALSE,32
"105","RH","classroom","business_s2","indoor",721,705,753,2.7707,-0.0129553318630684,1.60195428806065e-06,80.53635,FALSE,48
"106","RH","classroom","business_s2","indoor",733,721,745,11.7789,-0.140970492205227,1.66973287822437e-06,80.4284,TRUE,24
"107","RH","classroom","business_s2","indoor",785,753,833,3.2034,-0.00808974037415264,4.04645872110659e-07,126.11725,FALSE,80
"108","RH","classroom","business_s2","indoor",817,805,853,2.1189,-0.0395340699632637,2.23331994563221e-06,42.9419,TRUE,48
"109","RH","classroom","business_s2","indoor",913,889,925,1.5743,-0.0765010345198264,8.56279366935647e-07,13.9529,TRUE,36
"110","RH","classroom","business_s2","indoor",913,897,929,5.213,-0.0379100717381361,9.78082192335601e-07,67.88865,FALSE,32
"111","RH","classroom","business_s2","indoor",973,961,985,1.6021,-0.0891252220082321,3.84412854243236e-06,13.45955,TRUE,24
"112","RH","classroom","business_s2","indoor",1009,993,1057,6.5466,-0.0194737497215549,3.91751144103323e-07,193.6123,FALSE,64
"113","RH","classroom","business_s2","indoor",1081,1057,1093,1.8852,-0.0665041404981751,8.3478908177886e-06,17.4551,TRUE,36
"114","RH","classroom","business_s2","indoor",1089,1057,1105,2.9594,-0.0292254522327453,1.45578681242047e-07,40.74475,FALSE,48
"115","RH","classroom","business_s2","indoor",1153,1137,1169,3.5406,-0.0269941658983535,1.11927390299146e-07,49.47,FALSE,32
"116","RH","classroom","business_s2","indoor",1165,1117,1189,11.7418,-0.143150100632119,4.84874009867414e-06,91.43465,TRUE,72
"117","RH","classroom","business_s2","indoor",1233,1217,1249,3.089,-0.00802029157778266,5.58532397637551e-09,49.3459,FALSE,32
"118","RH","classroom","business_s2","indoor",1329,1249,1377,6.7411,-0.0178362334960809,3.94899088878299e-06,206.94635,FALSE,128
"119","RH","classroom","business_s2","indoor",1393,1377,1441,4.3509,-0.0113219810787321,3.01477195906731e-07,174.50275,FALSE,64
"120","RH","classroom","business_s2","indoor",1457,1441,1473,3.5545,-0.0131998125651499,3.55397983288517e-07,54.65075,FALSE,32
"121","RH","classroom","business_s2","indoor",1537,1521,1553,3.859,-0.0226747861167423,4.92263031504024e-06,55.50925,FALSE,32
"122","RH","classroom","business_s2","indoor",1649,1617,1665,4.8708,-0.0312620915201981,2.53489180425258e-07,66.1759,FALSE,48
"123","RH","classroom","business_s2","indoor",37,1,121,10.4814,-0.00144198891346593,5.28819588689296e-06,470.9165,TRUE,120
"124","RH","classroom","business_s2","indoor",97,1,193,6.94,-0.00786175068766755,1.64729608012313e-06,485.71555,FALSE,192
"125","RH","classroom","business_s2","indoor",209,193,241,4.7951,-0.0188722631883463,8.89058696538053e-07,125.2058,FALSE,48
"126","RH","classroom","business_s2","indoor",265,241,277,4.4142,-0.117533533676506,6.38401185092778e-06,33.04665,TRUE,36
"127","RH","classroom","business_s2","indoor",273,241,305,4.8804,-0.0171879684701398,5.3907545255538e-07,118.9845,FALSE,64
