"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"1","105","indoor","pm1",FALSE,-0.0477905719875349,-0.0274004750578373,-0.151668628192366,-0.00192121550509536,24.8092857142857,16.481,12.826,53.551,25.5714285714286,20,12,58,2629.081,7,50532.895
"2","105","indoor","pm1",TRUE,-0.0932836523848667,-0.0964554096022067,-0.235892266274264,-0.0116451178718846,24.5256153846154,15.697,6.808,102.647,22.0769230769231,18,12,67,3248.715,13,35366.201
"3","105","indoor","pm25",FALSE,-0.0523164696093906,-0.0304492249282751,-0.151668628192366,-0.0130411089556023,24.8092857142857,16.481,12.826,53.551,21.5714285714286,16,12,58,2300.982,7,56589.617
"4","105","indoor","pm25",TRUE,-0.0992359799494842,-0.0972469507703656,-0.235892266274264,-0.0105443343911077,26.0020833333333,17.1885,9.03,102.647,22.1666666666667,18,12,63,3175.43,12,41764.661
"5","105","indoor","pm10",FALSE,-0.0644235894154962,-0.0413374669737108,-0.151668628192366,-0.019223166609561,29.5354,16.858,15.553,53.551,24.8,16,12,56,2013.41,5,100714.748
"6","105","indoor","pm10",TRUE,-0.102601385855943,-0.0980384919385246,-0.235892266274264,-0.00053516452135523,27.545,18.68,10.626,102.647,20,16,12,44,2842.93,11,99880.85
"7","206","indoor","pm1",FALSE,-0.0417792003865323,-0.0221130221492231,-0.161906692515905,8.7383809886455e-05,30.9779393939394,26.056,11.809,78.695,124.060606060606,37,11,972,46787.533,33,123236.963
"8","206","indoor","pm1",TRUE,-0.0469979195790787,-0.0157806132259253,-0.367523662146056,-0.00102229159976039,23.617375,16.355,7.251,74.333,118.8,39,11,962,39143.84,40,92542.159
"9","206","indoor","pm25",FALSE,-0.0420483357663091,-0.0242997473116415,-0.161906692515905,0.000146982993050601,30.5534285714286,23.599,11.809,78.695,90.7428571428571,30,11,573,42163.996,35,141881.471
"10","206","indoor","pm25",TRUE,-0.0460814841885699,-0.0163027946623565,-0.367523662146056,0.00690613689532595,22.6871162790698,16.079,7.251,74.333,81.7674418604651,22,11,928,32078.088,43,105624.509
"11","206","indoor","pm10",FALSE,-0.045040008235755,-0.0282727673673408,-0.161906692515905,-0.00156418671638342,31.5176470588235,24.8275,14.911,78.695,62.4705882352941,24.5,11,492,28784.327,34,214461.528
"12","206","indoor","pm10",TRUE,-0.0584443861369746,-0.0267284715453211,-0.367523662146056,-0.000741653670108396,28.6609032258065,18.819,10.849,74.333,58.5806451612903,21,11,534,23662.515,31,182301.948
"13","207","indoor","pm1",FALSE,-0.0110567603512535,-0.00550412955946218,-0.0606344649808338,-0.00157113403160871,79.2831904761905,19.408,11.074,299.527,317.380952380952,164,11,1015,209833.644,21,276346.574
"14","207","indoor","pm1",TRUE,-0.0249345831772545,-0.0165508228587775,-0.0816481379627157,-0.00396635453751987,53.589375,21.7125,6.631,264.327,111.375,93,11,308,42777.668,24,76648.196
"15","207","indoor","pm25",FALSE,-0.0116388008642446,-0.00563946455058682,-0.0606344649808338,0.00065065682133065,79.5310476190476,19.408,12.279,299.527,304.952380952381,141,13,975,219974.973,21,316828.815
"16","207","indoor","pm25",TRUE,-0.0279601047831274,-0.0189163225627625,-0.109633753252095,-0.00343931372950599,57.8511818181818,26.094,7.279,264.327,87.7272727272727,76,11,268,39352.173,22,87724.693
"17","207","indoor","pm10",FALSE,-0.0129409279264814,-0.00645438230968456,-0.0606344649808338,0.00144775010670994,91.2087222222222,31.6575,14.899,299.527,258.666666666667,66,12,854,196149.092,18,350331.049
