"","participant_id","room_type","area","place_id","environment","type","beta_room_type","case","mean","median","q5","q25","q75","q95","sd"
"89","superintendent","office","Revere","RH","indoor","concent","R-office","on",3167.70548715511,2868.01666666667,575.415833333333,1364.50833333334,4077.12083333334,7145.17916666667,2358.06113501328
"90","superintendent","office","Revere","RH","indoor","concent","R-office","redu",13.5193380438629,10.6049507779423,69.4576907680706,42.428845173426,-8.64439467808371,16.9324586949403,-7.81030483195281
"91","superintendent","office","Revere","RH","outdoor","concent","R-office","off",9212.16903614342,7965.72416534182,2578.79,5594.68333333333,11584.525,19108.7675,5976.07603831656
"92","superintendent","office","Revere","RH","outdoor","concent","R-office","on",15879.2335606553,15361.4285714286,11944.6066666666,13350.4666666667,18012.36,21650.0945454545,3052.78385983666
"93","superintendent","office","Revere","RH","outdoor","concent","R-office","redu",-72.3723641886517,-92.8440936765657,-363.186481515232,-138.62774479342,-55.4863924071117,-13.2992724175148,48.9165827164304
"94","superintendent","office","Revere","RH","ratio","concent","R-office","off",0.555367331989151,0.424199248256743,0.157147600909253,0.279429170275482,0.607215104801734,1.24359972858038,0.753162211590771
"95","superintendent","office","Revere","RH","ratio","concent","R-office","on",0.563538550605025,0.558473751282372,0.491470095288144,0.528415790077764,0.599553583170757,0.658824427305051,0.0552935626251353
"96","superintendent","office","Revere","RH","ratio","concent","R-office","redu",-1.4713178369002,-31.653640023511,-212.744256001687,-89.105450070518,1.26174753730449,47.0227910022846,92.658478907439
"97","waterdept","office","Revere","CH","indoor","concent","R-office","off",6088.15305181221,4575.0585,2230.7375,3139.033,7288.14975,12756.3841666667,5825.19504333692
"98","waterdept","office","Revere","CH","indoor","concent","R-office","on",5024.68942331069,4240.067,1774.9634,3453.283,5580.517,10077.166,3191.94172011433
"99","waterdept","office","Revere","CH","indoor","concent","R-office","redu",17.4677544971535,7.32212495206346,20.4315433797119,-10.011044802651,23.4302643136552,21.0029592372082,45.2045520129768
"100","waterdept","office","Revere","CH","outdoor","concent","R-office","off",13597.280582241,11017.5416666666,5325.10425,7862.746,14991.2325,32800.1275,10134.4755062368
"101","waterdept","office","Revere","CH","outdoor","concent","R-office","on",21418.6866329521,19735.1,8344.9755,14369.49,26573.4925,39905.043,10418.7392677337
"102","waterdept","office","Revere","CH","outdoor","concent","R-office","redu",-57.5218405136563,-79.1243509403567,-56.7100869433683,-82.7540912551417,-77.260225268336,-21.6612435424222,-2.80491833368125
"103","waterdept","office","Revere","CH","ratio","concent","R-office","off",0.467952568626801,0.418709,0.26091782,0.3477008,0.4988697,0.814933998554469,0.283937135091177
"104","waterdept","office","Revere","CH","ratio","concent","R-office","on",0.247913504211655,0.2189668,0.14170034,0.1895379,0.2577043,0.43311328,0.145697525909035
"105","waterdept","office","Revere","CH","ratio","concent","R-office","redu",47.0216597081295,47.7043006001782,45.6915821234441,45.488218606342,48.3423627452219,46.8529622315112,48.6866957848787
"106","all","classroom","all","all","indoor","concent",NA,"off",4756.31217994642,4129.98333333333,1881.9325,2968.375,6008.50833333333,8819.1625,3013.29728167468
"107","all","classroom","all","all","indoor","concent",NA,"on",3483.04335283452,3166.53333333333,902.830833333333,2004.13333333334,4491.30833333333,7738.98333333333,2039.36592921266
"108","all","classroom","all","all","indoor","concent",NA,"redu",26.7700852875102,23.3281813082377,52.0263966251004,32.4838225179321,25.2508595450063,12.2480923405898,32.321117414633
"109","all","classroom","all","all","outdoor","concent",NA,"off",NA,NA,NA,NA,NA,NA,NA
"110","all","classroom","all","all","outdoor","concent",NA,"on",16283.3570453004,9263.90833333333,3298.6625,6407.70833333333,25538.9166666667,41355.2858333333,12810.614645291
"111","all","classroom","all","all","outdoor","concent",NA,"redu",NA,NA,NA,NA,NA,NA,NA
"112","all","daycare","all","all","indoor","concent",NA,"off",5370.57895140096,3862.66666666667,606.89,1885.71666666666,7568.475,14801.7041666667,5015.58997062281
"113","all","daycare","all","all","indoor","concent",NA,"on",2329.20212489167,2042.55,611.23219,1231.97933333334,3012.71683333333,5182.505,1448.51444148833
"114","all","daycare","all","all","indoor","concent",NA,"redu",56.6303345324795,47.1207283396618,-0.715482212592136,34.667845116357,60.1938721693163,64.9871059329036,71.1197595901472
"115","all","daycare","all","all","outdoor","concent",NA,"off",25551.8235017721,16458.15,3501.26666666667,7620.45,34897.08,79221.6666666667,24097.0895075616
