"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"16","502","indoor","pm25",TRUE,-0.0354108626322289,-0.0270934438244902,-0.112632757128167,-0.00163409925416949,16.8808235294118,8.405,3.836,58.405,535.176470588235,165,39,2904,13608.612,17,53167.052
"17","502","indoor","pm10",FALSE,-0.0253498786716108,-0.00838383223847999,-0.173452882521072,4.49365970063569e-05,47.0585714285714,43.564,10.372,102.683,353.285714285714,265,22,1052,108636.708,35,212163.132
"18","502","indoor","pm10",TRUE,-0.035913227074783,-0.030874080625432,-0.100057961585937,0.000503724298728641,47.8725263157895,27.589,7.946,179.534,316.105263157895,93,41,1240,30018.144,19,85151.704
"19","210","indoor","pm1",FALSE,-0.00666855521143974,-0.00807178852100961,-0.0110671456942773,-0.000998915613493241,49.7785454545455,49.921,48.876,49.991,772.454545454545,501,180,2542,87193.718,11,188628.378
"20","210","indoor","pm1",TRUE,-0.0164959262056936,-0.0174303343204274,-0.0318444505225731,-0.00106460814210492,48.4092647058824,49.7945,24.484,49.997,352.029411764706,230.5,125,909,160695.086,34,276536.006
"21","210","indoor","pm25",FALSE,-0.00494496575114649,-0.00380091793381723,-0.011083018232006,-0.000873647327387247,50.0423846153846,50.108,49,50.679,640.307692307692,495,168,1398,131967.527,13,189895.495
"22","210","indoor","pm25",TRUE,-0.0156661793721008,-0.0149889769262404,-0.0318076479170733,0.00597573833903444,48.2906944444444,50.029,24.617,52.455,330.944444444444,221,123,905,166982.157,36,278155.149
"23","210","indoor","pm10",FALSE,-0.0553223026915033,-0.00932097367532517,-0.733350457006369,-0.00071496360546379,70.0557058823529,68.057,20.818,129.624,455.117647058824,417,237,1185,99105.243,17,212119.102
"24","210","indoor","pm10",TRUE,-0.0188290404784296,-0.0224360493318793,-0.0461924069130085,-0.000805768712987634,54.5189,54.9435,17.474,74.2,270.675,189.5,97,887,144020.285,40,294266.751
"25","105","indoor","pm1",FALSE,-0.00799598976107129,-0.00680329730676379,-0.0257881483010647,-0.000105070883711505,12.8338571428571,12.486,5.114,24.059,328.428571428571,248.5,56,1215,23579.659,14,56082.84
