"","participant_id","pm","hepa","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","pv_peak_wdh_mean","pv_peak_wdh_median","total_peak_wdh_mean","total_peak_wdh_median","total_plume_area","abs_k_val","abs_k_val_mean"
"29","105","pm10",FALSE,-0.485388651973204,-0.175172208617409,60.5458103448276,24.8275,21.7931034482759,11,28.4655172413793,13.5,34488.072,0.175172208617409,0.485388651973204
"30","105","pm10",TRUE,-1.05928848749628,-0.60865200026537,30.9144868421053,16.113,17.9078947368421,11,22.9736842105263,13,27557.84,0.60865200026537,1.05928848749628
"31","308","pm1",FALSE,-0.035823331399323,-0.0191438324333593,12.0295,8.184,49.2307692307692,24.5,115.269230769231,54.5,12003.815,0.0191438324333593,0.035823331399323
"32","308","pm1",TRUE,-0.0438491543973843,-0.0359123101071639,13.8614761904762,5.485,32.4285714285714,18,50.6190476190476,22,6410.046,0.0359123101071639,0.0438491543973843
"33","308","pm25",FALSE,-0.0436319921664924,-0.0121618149270463,15.4421875,11.0735,55.78125,24,110.28125,44.5,18516.448,0.0121618149270463,0.0436319921664924
"34","308","pm25",TRUE,-0.0443256595321714,-0.0370221992815985,18.0890909090909,7.036,35.1818181818182,16,46.8181818181818,23,14818.699,0.0370221992815985,0.0443256595321714
"35","308","pm10",FALSE,-0.312080477704088,-0.115112817736576,73.5100540540541,33.007,33.9594594594595,11,50.2702702702703,14,84006.92,0.115112817736576,0.312080477704088
"36","308","pm10",TRUE,-0.956073244153584,-0.214507734792746,57.2931267605634,28.336,20.7464788732394,11,28.2394366197183,14,42504.08,0.214507734792746,0.956073244153584
"37","303","pm1",FALSE,-0.0126482269099896,-0.0121357283178379,21.8432903225806,11.413,95.9677419354839,80,195.096774193548,223,39717.049,0.0121357283178379,0.0126482269099896
"38","303","pm1",TRUE,-0.0134389110088063,-0.0115947872768976,20.8712,7.585,108.066666666667,101,254.066666666667,197,17475.003,0.0115947872768976,0.0134389110088063
"39","303","pm25",FALSE,-0.013546521207469,-0.012087564017657,29.4342580645161,13.116,105.096774193548,91,196.838709677419,220,52864.232,0.012087564017657,0.013546521207469
"40","303","pm25",TRUE,-0.0144794238040978,-0.0109458506886847,34.5294285714286,16.8145,116,103,271.285714285714,234.5,25680.75,0.0109458506886847,0.0144794238040978
"41","303","pm10",FALSE,-0.471482763822073,-0.091448180006086,83.7776626506024,36.21,46.3253012048193,11,69.4096385542169,14,158924.756,0.091448180006086,0.471482763822073
"42","303","pm10",TRUE,-0.504436983090703,-0.0629258047672155,85.5668787878788,34.828,62.6363636363636,12,84.5757575757576,13,81205.84,0.0629258047672155,0.504436983090703
"43","500","pm1",FALSE,-0.0233345753564801,-0.0199397780408781,16.05484,7.733,35.4,22,49.44,40,10090.59,0.0199397780408781,0.0233345753564801
"44","500","pm1",TRUE,-0.0380763132843416,-0.0238542431845527,11.7487192982456,4.544,28.6666666666667,13,42.7543859649123,20,12034.686,0.0238542431845527,0.0380763132843416
"45","500","pm25",FALSE,-0.0259958229871609,-0.0257841301865482,23.4935454545455,11.289,42.2727272727273,36.5,57.2272727272727,56.5,13106.344,0.0257841301865482,0.0259958229871609
