"","x","y","r","case","participant_id","environment"
"147","pm25","pm1num",0.421414713214569,"on","waterdept","ratio"
"148","pm10","concent",0.375551416628317,"on","waterdept","ratio"
"149","pm10","pm1num",0.256846391216643,"on","waterdept","ratio"
"150","concent","pm1num",0.179099219776776,"on","waterdept","ratio"
"151","pm1","pm25",0.954897369659587,"on","all","ratio"
"152","pm1","pm10",0.257414036436151,"on","all","ratio"
"153","pm1","concent",0.260643373402211,"on","all","ratio"
"154","pm1","pm1num",0.71502920715617,"on","all","ratio"
"155","pm25","pm10",0.428480811313101,"on","all","ratio"
"156","pm25","concent",0.327153457471618,"on","all","ratio"
"157","pm25","pm1num",0.730081753181793,"on","all","ratio"
"158","pm10","concent",0.308549684148616,"on","all","ratio"
"159","pm10","pm1num",0.177670035656642,"on","all","ratio"
"160","concent","pm1num",0.317422445989779,"on","all","ratio"
