"","var1","var2","cor","p","case","participant_id"
"283","inlttmp_indoor","concent_indoor",-0.028,5.5e-90,"hepa","45451"
"284","inlttmp_outdoor","concent_indoor",-0.027,4.71e-82,"hepa","45451"
"285","concent_ratio","concent_indoor",0.8,0,"hepa","45451"
"286","inlttmp_ratio","concent_indoor",-0.026,1.46e-75,"hepa","45451"
"287","concent_indoor","concent_outdoor",0.3,0,"hepa","45451"
"288","concent_outdoor","concent_outdoor",1,0,"hepa","45451"
"289","inlttmp_indoor","concent_outdoor",-0.3,0,"hepa","45451"
"290","inlttmp_outdoor","concent_outdoor",-0.3,0,"hepa","45451"
"291","concent_ratio","concent_outdoor",-0.00056,0.688,"hepa","45451"
"292","inlttmp_ratio","concent_outdoor",0.13,0,"hepa","45451"
"293","concent_indoor","inlttmp_indoor",-0.028,5.5e-90,"hepa","45451"
"294","concent_outdoor","inlttmp_indoor",-0.3,0,"hepa","45451"
"295","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","45451"
"296","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","45451"
"297","concent_ratio","inlttmp_indoor",0.056,0,"hepa","45451"
"298","inlttmp_ratio","inlttmp_indoor",-0.32,0,"hepa","45451"
"299","concent_indoor","inlttmp_outdoor",-0.027,4.71e-82,"hepa","45451"
"300","concent_outdoor","inlttmp_outdoor",-0.3,0,"hepa","45451"
"301","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","45451"
"302","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","45451"
"303","concent_ratio","inlttmp_outdoor",0.058,0,"hepa","45451"
"304","inlttmp_ratio","inlttmp_outdoor",-0.35,0,"hepa","45451"
"305","concent_indoor","concent_ratio",0.8,0,"hepa","45451"
"306","concent_outdoor","concent_ratio",-0.00056,0.688,"hepa","45451"
"307","inlttmp_indoor","concent_ratio",0.056,0,"hepa","45451"
"308","inlttmp_outdoor","concent_ratio",0.058,0,"hepa","45451"
"309","concent_ratio","concent_ratio",1,0,"hepa","45451"
"310","inlttmp_ratio","concent_ratio",-0.082,0,"hepa","45451"
"311","concent_indoor","inlttmp_ratio",-0.026,1.46e-75,"hepa","45451"
"312","concent_outdoor","inlttmp_ratio",0.13,0,"hepa","45451"
"313","inlttmp_indoor","inlttmp_ratio",-0.32,0,"hepa","45451"
"314","inlttmp_outdoor","inlttmp_ratio",-0.35,0,"hepa","45451"
"315","concent_ratio","inlttmp_ratio",-0.082,0,"hepa","45451"
"316","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","45451"
