timestamp,timestamp_local,sn,sample_rh,sample_temp,sample_pres,lat,lon,device_state,pm1,pm25,pm10
2023-03-01T22:56:58Z,2023-03-01T17:56:58Z,MOD-PM-00231,53.76,4.94,0.0,42.3161,-71.078,ACTIVE,2.557,3.147,12.881
2023-03-01T22:55:58Z,2023-03-01T17:55:58Z,MOD-PM-00231,53.6,4.94,0.0,42.3161,-71.078,ACTIVE,2.795,3.568,18.233
2023-03-01T22:54:58Z,2023-03-01T17:54:58Z,MOD-PM-00231,53.36,4.95,0.0,42.3161,-71.078,ACTIVE,3.806,4.727,30.345
2023-03-01T22:53:58Z,2023-03-01T17:53:58Z,MOD-PM-00231,53.45,4.95,0.0,42.3161,-71.078,ACTIVE,3.098,3.707,6.779
2023-03-01T22:52:58Z,2023-03-01T17:52:58Z,MOD-PM-00231,53.53,4.95,0.0,42.3161,-71.078,ACTIVE,2.036,4.055,44.222
2023-03-01T22:51:58Z,2023-03-01T17:51:58Z,MOD-PM-00231,53.3,4.94,0.0,42.3161,-71.078,ACTIVE,1.875,2.683,19.011
2023-03-01T22:50:58Z,2023-03-01T17:50:58Z,MOD-PM-00231,53.27,4.96,0.0,42.3161,-71.078,ACTIVE,2.163,2.719,4.6
2023-03-01T22:49:58Z,2023-03-01T17:49:58Z,MOD-PM-00231,53.12,4.96,0.0,42.3161,-71.078,ACTIVE,2.636,3.234,5.927
2023-03-01T22:48:58Z,2023-03-01T17:48:58Z,MOD-PM-00231,52.67,4.96,0.0,42.3161,-71.078,ACTIVE,2.435,3.065,9.252
2023-03-01T22:47:58Z,2023-03-01T17:47:58Z,MOD-PM-00231,52.53,4.97,0.0,42.3161,-71.078,ACTIVE,2.678,3.208,5.195
2023-03-01T22:46:58Z,2023-03-01T17:46:58Z,MOD-PM-00231,52.66,4.99,0.0,42.3161,-71.078,ACTIVE,2.284,2.783,4.987
2023-03-01T22:45:58Z,2023-03-01T17:45:58Z,MOD-PM-00231,53.53,4.99,0.0,42.3161,-71.078,ACTIVE,2.503,3.05,16.105
2023-03-01T22:44:58Z,2023-03-01T17:44:58Z,MOD-PM-00231,53.12,5.0,0.0,42.3161,-71.078,ACTIVE,3.045,3.59,8.46
2023-03-01T22:43:58Z,2023-03-01T17:43:58Z,MOD-PM-00231,53.26,5.01,0.0,42.3161,-71.078,ACTIVE,3.37,3.858,9.175
2023-03-01T22:42:58Z,2023-03-01T17:42:58Z,MOD-PM-00231,53.73,5.02,0.0,42.3161,-71.078,ACTIVE,2.499,2.971,15.505
2023-03-01T22:41:58Z,2023-03-01T17:41:58Z,MOD-PM-00231,53.82,5.03,0.0,42.3161,-71.078,ACTIVE,2.318,2.938,37.042
2023-03-01T22:40:58Z,2023-03-01T17:40:58Z,MOD-PM-00231,53.6,5.03,0.0,42.3161,-71.078,ACTIVE,2.788,3.472,6.931
2023-03-01T22:39:58Z,2023-03-01T17:39:58Z,MOD-PM-00231,53.46,5.04,0.0,42.3161,-71.078,ACTIVE,2.612,3.354,5.825
2023-03-01T22:38:58Z,2023-03-01T17:38:58Z,MOD-PM-00231,53.35,5.05,0.0,42.3161,-71.078,ACTIVE,2.95,3.428,9.207
2023-03-01T22:37:58Z,2023-03-01T17:37:58Z,MOD-PM-00231,53.72,5.06,0.0,42.3161,-71.078,ACTIVE,2.653,3.657,6.342
2023-03-01T22:36:58Z,2023-03-01T17:36:58Z,MOD-PM-00231,54.0,5.06,0.0,42.3161,-71.078,ACTIVE,1.885,2.595,6.404
2023-03-01T22:35:58Z,2023-03-01T17:35:58Z,MOD-PM-00231,53.82,5.07,0.0,42.3161,-71.078,ACTIVE,3.103,3.601,7.479
2023-03-01T22:34:58Z,2023-03-01T17:34:58Z,MOD-PM-00231,53.82,5.08,0.0,42.3161,-71.078,ACTIVE,2.481,3.061,5.25
2023-03-01T22:33:58Z,2023-03-01T17:33:58Z,MOD-PM-00231,53.66,5.08,0.0,42.3161,-71.078,ACTIVE,2.794,3.622,10.134
2023-03-01T22:32:58Z,2023-03-01T17:32:58Z,MOD-PM-00231,53.69,5.09,0.0,42.3161,-71.078,ACTIVE,2.07,2.687,5.884
2023-03-01T22:31:58Z,2023-03-01T17:31:58Z,MOD-PM-00231,53.34,5.09,0.0,42.3161,-71.078,ACTIVE,2.772,3.529,19.861
2023-03-01T22:30:58Z,2023-03-01T17:30:58Z,MOD-PM-00231,53.7,5.1,0.0,42.3161,-71.078,ACTIVE,2.843,3.489,12.923
2023-03-01T22:29:58Z,2023-03-01T17:29:58Z,MOD-PM-00231,53.7,5.12,0.0,42.3161,-71.078,ACTIVE,2.033,2.386,2.821
2023-03-01T22:28:58Z,2023-03-01T17:28:58Z,MOD-PM-00231,54.27,5.11,0.0,42.3161,-71.078,ACTIVE,2.546,3.36,12.41
2023-03-01T22:27:58Z,2023-03-01T17:27:58Z,MOD-PM-00231,54.31,5.13,0.0,42.3161,-71.078,ACTIVE,2.222,3.031,9.44
2023-03-01T22:26:58Z,2023-03-01T17:26:58Z,MOD-PM-00231,54.43,5.13,0.0,42.3161,-71.078,ACTIVE,2.57,3.458,13.544
2023-03-01T22:25:58Z,2023-03-01T17:25:58Z,MOD-PM-00231,54.42,5.14,0.0,42.3161,-71.078,ACTIVE,3.179,4.101,10.895
2023-03-01T22:24:58Z,2023-03-01T17:24:58Z,MOD-PM-00231,54.05,5.14,0.0,42.3161,-71.078,ACTIVE,2.453,3.249,7.939
2023-03-01T22:23:58Z,2023-03-01T17:23:58Z,MOD-PM-00231,54.12,5.15,0.0,42.3161,-71.078,ACTIVE,3.412,4.425,16.002
2023-03-01T22:22:58Z,2023-03-01T17:22:58Z,MOD-PM-00231,54.12,5.17,0.0,42.3161,-71.078,ACTIVE,2.396,3.189,6.635
2023-03-01T22:21:58Z,2023-03-01T17:21:58Z,MOD-PM-00231,54.13,5.17,0.0,42.3161,-71.078,ACTIVE,2.625,3.251,8.354
