"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant"
"34",622,657,13215.737458194,0.106407816000878,2.44741292394736e-06,"sham","45361"
"35",693,713,105405.978333333,0.343907550380984,5.74741287782138e-07,"sham","45361"
"36",715,742,84566.3551088777,0.419699739264052,4.14567927020922e-07,"sham","45361"
"37",749,763,7921.685,0.090765153227611,1.54091167102618e-06,"sham","45361"
"38",5,32,61773.0451505017,0.311173934400952,3.28148874832115e-06,"hepa","45361"
"39",35,46,27550.5836120401,0.461412171436669,2.32020142953641e-06,"hepa","45361"
"40",127,139,60431.2274247492,0.930704631345911,2.00809189095595e-06,"hepa","45361"
"41",171,192,70295.0986622074,0.566067211033235,2.64675648506738e-06,"hepa","45361"
"42",194,251,11790.3311036789,0.271942845544148,4.09637969256128e-07,"hepa","45361"
"43",296,311,39256.5941666667,0.397014655774511,6.18816273511274e-07,"hepa","45361"
"44",419,432,82847.7016666667,0.267163315963466,2.83649112236637e-06,"hepa","45361"
"45",439,464,76468.3233333333,0.110297347255234,8.70611288727345e-08,"hepa","45361"
"46",470,518,80621.5916666667,0.390452331239523,9.02248131207362e-07,"hepa","45361"
"47",562,581,69981.3244147157,0.432685187310393,3.93147421214075e-06,"hepa","45361"
"48",583,608,27685.8944723618,0.402566887624544,2.78237744200002e-06,"hepa","45361"
"49",614,669,140388.626666667,0.136534100956611,8.34805304292669e-07,"hepa","45361"
"50",715,748,51635.455,0.0985877413151064,2.36221471816339e-06,"hepa","45361"
"51",757,768,103750.461538462,0.212067336380975,2.34942333411967e-06,"hepa","45361"
"52",786,819,12856.6622073579,0.240226180699945,1.69637081510023e-06,"hepa","45361"
"53",110,119,12397.2190635451,0.318125499910855,1.82849166501728e-06,"hepa","45451"
"54",255,274,75718.0685618729,0.317132519214014,3.31799020413185e-06,"hepa","45451"
"55",588,620,17638.3752093802,0.150375584711887,1.19174643692924e-06,"hepa","45451"
"56",8,65,45895.445561139,0.220677186022402,9.70827913764561e-07,"sham","44621"
"57",165,209,19863.1220735786,0.0449594269319112,1.4047010637806e-06,"sham","44621"
"58",267,285,15230.652173913,0.376967492408496,5.20104970989731e-07,"sham","44621"
"59",398,442,12596.6204013378,0.104827250953769,1.14050263386113e-06,"sham","44621"
"60",592,637,5917.68676716918,0.113069913784531,5.89976635064326e-07,"sham","44621"
"61",734,760,6513.58458961474,0.0214942624228568,1.55562580641977e-06,"sham","44621"
"62",872,915,108242.058528428,0.111704167140473,2.2553996212134e-06,"sham","44621"
"63",28,36,6163.08361204013,0.248554305999404,3.96165883857757e-06,"hepa","41271"
"64",51,91,5284.70234113712,0.0404055133235832,1.32425678754571e-06,"hepa","41271"
"65",153,164,6598.41638795987,0.356516630801111,4.48585013187294e-07,"hepa","41271"
"66",187,218,15194.8023450586,0.0679931940635311,1.37430885592254e-06,"hepa","41271"
"67",264,291,13705.3450586265,0.22189219433131,1.53207286541406e-06,"hepa","41271"
"68",309,313,8977.27638190955,0.0124428425246334,6.63749893112866e-06,"hepa","41271"
"69",337,346,7110.48160535117,0.230275069367237,1.44838886758656e-06,"hepa","41271"
"70",433,444,14071.2881072027,0.129247710736897,7.11854703120139e-07,"hepa","41271"
"71",634,657,10157.7520938023,0.311349580273929,8.73126465269089e-08,"hepa","41271"
"72",739,766,9185.30150753769,0.140384826024586,1.28735201311096e-06,"hepa","41271"
"73",871,885,20068.2976588629,0.150228931047482,2.13601169326311e-06,"hepa","41271"
"74",891,905,11195.8866666667,0.131802628087208,1.49169459659324e-06,"hepa","41271"
"75",928,943,7691.37123745819,0.14130116515216,1.25951301297569e-06,"hepa","41271"
"76",10,25,66464.1137123746,0.444765151013539,1.09480776705521e-06,"hepa","44621"
"77",148,184,63164.5501672241,0.342117810942504,2.905960452536e-06,"hepa","44621"
"78",218,236,43959.1220735786,0.386916211628675,2.14331883056463e-06,"hepa","44621"
"79",249,273,103718.357859532,0.216280490133704,2.59979551533053e-06,"hepa","44621"
"80",290,303,115355.428093645,0.153345346117401,3.83572589775327e-06,"hepa","44621"
"81",389,396,32390.3210702341,0.418486642031553,2.77529180070753e-06,"hepa","44621"
