"","var1","var2","cor","p","case","participant_id"
"149","temp_outdoor","pm1num_indoor",-0.0064,0.598,"sham","41181"
"150","temp_ratio","pm1num_indoor",0.059,1.29e-06,"sham","41181"
"151","pm1_indoor","pm1num_outdoor",0.11,3.25e-19,"sham","41181"
"152","pm1_outdoor","pm1num_outdoor",0.64,0,"sham","41181"
"153","pm1_ratio","pm1num_outdoor",-0.09,1.24e-13,"sham","41181"
"154","pm25_indoor","pm1num_outdoor",0.092,4.1e-14,"sham","41181"
"155","pm25_outdoor","pm1num_outdoor",0.62,0,"sham","41181"
"156","pm25_ratio","pm1num_outdoor",-0.09,9.17e-14,"sham","41181"
"157","pm10_indoor","pm1num_outdoor",-0.0047,0.697,"sham","41181"
"158","pm10_outdoor","pm1num_outdoor",0.16,1.57e-42,"sham","41181"
"159","pm10_ratio","pm1num_outdoor",-0.054,9.75e-06,"sham","41181"
"160","pm1num_indoor","pm1num_outdoor",0.12,4.02e-24,"sham","41181"
"161","pm1num_outdoor","pm1num_outdoor",1,0,"sham","41181"
"162","pm1num_ratio","pm1num_outdoor",-0.39,6.5e-242,"sham","41181"
"163","temp_indoor","pm1num_outdoor",0.055,5.01e-06,"sham","41181"
"164","temp_outdoor","pm1num_outdoor",-0.26,4.6e-108,"sham","41181"
"165","temp_ratio","pm1num_outdoor",0.23,3.49e-85,"sham","41181"
"166","pm1_indoor","pm1num_ratio",0.45,0,"sham","41181"
"167","pm1_outdoor","pm1num_ratio",-0.02,0.102,"sham","41181"
"168","pm1_ratio","pm1num_ratio",0.16,4.96e-41,"sham","41181"
"169","pm25_indoor","pm1num_ratio",0.63,0,"sham","41181"
"170","pm25_outdoor","pm1num_ratio",-0.016,0.189,"sham","41181"
"171","pm25_ratio","pm1num_ratio",0.24,1.57e-87,"sham","41181"
"172","pm10_indoor","pm1num_ratio",0.33,1.61e-169,"sham","41181"
"173","pm10_outdoor","pm1num_ratio",-0.029,0.0175,"sham","41181"
"174","pm10_ratio","pm1num_ratio",0.12,2.07e-23,"sham","41181"
"175","pm1num_indoor","pm1num_ratio",0.72,0,"sham","41181"
"176","pm1num_outdoor","pm1num_ratio",-0.39,6.5e-242,"sham","41181"
"177","pm1num_ratio","pm1num_ratio",1,0,"sham","41181"
"178","temp_indoor","pm1num_ratio",0.26,7.38e-105,"sham","41181"
"179","temp_outdoor","pm1num_ratio",0.29,3.43e-134,"sham","41181"
"180","temp_ratio","pm1num_ratio",-0.18,6.18e-53,"sham","41181"
"181","pm1_indoor","temp_indoor",0.33,4.8e-176,"sham","41181"
"182","pm1_outdoor","temp_indoor",-0.2,1.5e-62,"sham","41181"
"183","pm1_ratio","temp_indoor",0.17,1.53e-44,"sham","41181"
"184","pm25_indoor","temp_indoor",0.29,6.89e-128,"sham","41181"
"185","pm25_outdoor","temp_indoor",-0.25,1.12e-95,"sham","41181"
"186","pm25_ratio","temp_indoor",0.19,2.18e-53,"sham","41181"
"187","pm10_indoor","temp_indoor",-0.059,1.39e-06,"sham","41181"
"188","pm10_outdoor","temp_indoor",-0.041,0.000655,"sham","41181"
"189","pm10_ratio","temp_indoor",0.03,0.0125,"sham","41181"
"190","pm1num_indoor","temp_indoor",0.3,1.14e-145,"sham","41181"
