"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"228",262,272,6.8272,0.451285349561401,4.31894833475585e-06,"hepa","45361","2.5"
"324",90,100,210.5085,0.481993346806934,7.00704896875383e-07,"hepa","45361","10"
"136",113,126,10.8299,0.13820592780889,2.06345782424536e-06,"sham","45411","1"
"229",324,333,8.2495,0.342425544801651,1.78821046541518e-06,"sham","45411","1"
"325",879,911,35.0646,0.191983229248883,1.69562245595206e-06,"sham","45411","1"
"423",113,126,11.6345,0.138400978445316,2.95278610108805e-06,"sham","45411","2.5"
"512",324,333,9.4253,0.326780494014857,2.85868281652457e-06,"sham","45411","2.5"
"611",879,910,35.7516,0.196277435779645,1.73068788440372e-06,"sham","45411","2.5"
"711",13,23,66.8639,0.774546595037826,5.35333553414543e-06,"sham","45411","10"
"89",184,189,26.0058,1.08268656344155,7.21667904994257e-06,"sham","45411","10"
"99",564,578,47.3749,0.454614827890895,1.95762881912423e-06,"sham","45411","10"
"107",879,894,42.154,0.288496230815401,4.03473240943181e-07,"sham","45411","10"
"1112",910,919,26.3867,1.67912784649643,4.99730806760554e-06,"sham","45411","10"
"1210",1001,1011,22.9075,0.507408012625979,8.86065815909004e-07,"sham","45411","10"
"137",328,349,10.0891,0.266927921401141,2.12435171088392e-07,"hepa","45411","1"
"230",612,646,14.383,0.1541042488691,1.61405037212138e-06,"hepa","45411","1"
"326",913,917,6.2423,0.337276244864893,7.86387959537565e-06,"hepa","45411","1"
"424",148,166,6.6098,0.232964680825316,3.87058989927006e-06,"hepa","45411","2.5"
"513",328,349,11.5781,0.267699217590629,2.42962466064437e-06,"hepa","45411","2.5"
"612",612,646,15.1645,0.139563860683566,9.58897115408345e-07,"hepa","45411","2.5"
"712",913,917,7.7721,0.363462585191515,3.5979446535565e-06,"hepa","45411","2.5"
"810",127,143,60.0604,0.400299979443681,6.05118421518637e-07,"hepa","45411","10"
"910",148,160,141.8211,0.329154554497218,9.58802923555909e-07,"hepa","45411","10"
"108",326,365,48.9077,0.148966991139096,1.98738637316869e-06,"hepa","45411","10"
"1113",477,485,44.2801,0.30472092901258,4.41958057063029e-06,"hepa","45411","10"
"1211",758,779,90.3245,0.297522244648555,1.0987123414119e-06,"hepa","45411","10"
"138",65,85,11.2455,0.021674275962838,1.56180646184514e-06,"sham","45451","1"
"235",131,159,10.4912,0.0243308979941377,1.67066123933333e-06,"sham","45451","1"
"327",329,332,13.761,1.08048545542224,1.39522346388877e-06,"sham","45451","1"
"425",374,400,8.1301,0.186137973826258,5.29049505110371e-07,"sham","45451","1"
"514",410,431,9.56533333333333,0.589118259170588,1.7304620947471e-06,"sham","45451","1"
"613",549,580,9.771,0.306953499023627,2.10227964352949e-06,"sham","45451","1"
"713",65,85,11.369,0.023596570106665,1.4464168905835e-06,"sham","45451","2.5"
"811",131,159,10.5864,0.023278520261159,1.35579808909578e-06,"sham","45451","2.5"
"911",329,332,13.777,1.05588126687472,1.37724690427182e-06,"sham","45451","2.5"
"109",374,400,8.2355,0.188945132758593,1.09767844515193e-06,"sham","45451","2.5"
"1114",410,431,9.7635,0.579392647488729,8.37600459371931e-07,"sham","45451","2.5"
"1212",550,569,9.932,0.380408092586932,1.77331043382356e-06,"sham","45451","2.5"
"139",65,87,11.4145,0.0551872611245784,1.95537157901762e-06,"sham","45451","10"
"146",131,138,10.6806,0.245761244107457,4.04181160535709e-06,"sham","45451","10"
"155",329,350,13.777,0.414982477491513,2.40962477628046e-06,"sham","45451","10"
"165",416,433,13.7585,0.207033517554412,2.0069907843768e-06,"sham","45451","10"
"175",612,618,12.9722,0.654650666527441,8.44035924369481e-06,"sham","45451","10"
"185",633,664,14.2252,0.205919788582316,1.04723929614534e-06,"sham","45451","10"
"195",770,825,11.8785,0.348803871786345,1.85111517447858e-06,"sham","45451","10"
"205",875,904,14.3956,0.113185661592053,9.85370598052477e-07,"sham","45451","10"
"2111",981,994,10.0462,0.368301213131441,2.25402314592664e-07,"sham","45451","10"
"140",387,417,5.2075,0.291759873594044,1.18622091616995e-07,"hepa","45451","1"
"236",387,413,7.2224,0.282625420487543,4.03790223714347e-08,"hepa","45451","2.5"
"328",120,131,14.7703,0.140993825332536,3.69312836258601e-06,"hepa","45451","10"
"426",386,399,39.0585,0.437561957264539,7.34167982348561e-07,"hepa","45451","10"
"515",504,508,76.1717,1.45693166806544,7.67170714489646e-07,"hepa","45451","10"
"614",877,886,10.4567,2.18522907352439,5.72747622495714e-06,"hepa","45451","10"
"714",934,946,10.0071,0.615885013841333,1.88456270327282e-06,"hepa","45451","10"
"147",4,23,13.9195,0.622457873810563,4.02677288354194e-06,"sham","46591","1"
"237",27,32,5.5022,0.465029998271787,3.38720950042022e-06,"sham","46591","1"
"329",4,23,22.7447,0.593363045228839,1.97184724998891e-06,"sham","46591","2.5"
"427",27,64,6.7304,0.123437485643984,2.15637349570771e-06,"sham","46591","2.5"
"516",175,192,5.1575,0.135711100987815,4.15556329068933e-08,"sham","46591","2.5"
"615",4,16,46.0197,0.754697686544121,1.76357298945581e-06,"sham","46591","10"
