"","var1","var2","cor","p","case","participant_id"
"129","concent_ratio","inlttmp_indoor",-0.028,1.78e-81,"hepa","42281"
"130","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","42281"
"131","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","42281"
"132","inlttmp_ratio","inlttmp_indoor",-0.67,0,"hepa","42281"
"133","concent_indoor","inlttmp_outdoor",-0.097,0,"hepa","42281"
"134","concent_outdoor","inlttmp_outdoor",-0.29,0,"hepa","42281"
"135","concent_ratio","inlttmp_outdoor",-0.027,1.19e-75,"hepa","42281"
"136","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","42281"
"137","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","42281"
"138","inlttmp_ratio","inlttmp_outdoor",-0.7,0,"hepa","42281"
"139","concent_indoor","inlttmp_ratio",0.068,0,"hepa","42281"
"140","concent_outdoor","inlttmp_ratio",0.26,0,"hepa","42281"
"141","concent_ratio","inlttmp_ratio",0.0016,0.287,"hepa","42281"
"142","inlttmp_indoor","inlttmp_ratio",-0.67,0,"hepa","42281"
"143","inlttmp_outdoor","inlttmp_ratio",-0.7,0,"hepa","42281"
"144","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","42281"
"145","concent_indoor","concent_indoor",1,0,"sham","45361"
"146","concent_outdoor","concent_indoor",0.16,0,"sham","45361"
"147","concent_ratio","concent_indoor",0.76,0,"sham","45361"
"148","inlttmp_indoor","concent_indoor",-0.17,0,"sham","45361"
"149","inlttmp_outdoor","concent_indoor",-0.17,0,"sham","45361"
"150","inlttmp_ratio","concent_indoor",-0.066,0,"sham","45361"
"151","concent_indoor","concent_outdoor",0.16,0,"sham","45361"
"152","concent_outdoor","concent_outdoor",1,0,"sham","45361"
"153","concent_ratio","concent_outdoor",-0.1,0,"sham","45361"
"154","inlttmp_indoor","concent_outdoor",-0.16,0,"sham","45361"
"155","inlttmp_outdoor","concent_outdoor",-0.17,0,"sham","45361"
"156","inlttmp_ratio","concent_outdoor",0.028,4.13e-82,"sham","45361"
"157","concent_indoor","concent_ratio",0.76,0,"sham","45361"
"158","concent_outdoor","concent_ratio",-0.1,0,"sham","45361"
"159","concent_ratio","concent_ratio",1,0,"sham","45361"
"160","inlttmp_indoor","concent_ratio",-0.033,1.58e-116,"sham","45361"
"161","inlttmp_outdoor","concent_ratio",-0.034,2.07e-124,"sham","45361"
"162","inlttmp_ratio","concent_ratio",0.0053,0.000211,"sham","45361"
"163","concent_indoor","inlttmp_indoor",-0.17,0,"sham","45361"
"164","concent_outdoor","inlttmp_indoor",-0.16,0,"sham","45361"
"165","concent_ratio","inlttmp_indoor",-0.033,1.58e-116,"sham","45361"
"166","inlttmp_indoor","inlttmp_indoor",1,0,"sham","45361"
"167","inlttmp_outdoor","inlttmp_indoor",0.99,0,"sham","45361"
"168","inlttmp_ratio","inlttmp_indoor",0.17,0,"sham","45361"
"169","concent_indoor","inlttmp_outdoor",-0.17,0,"sham","45361"
"170","concent_outdoor","inlttmp_outdoor",-0.17,0,"sham","45361"
"171","concent_ratio","inlttmp_outdoor",-0.034,2.07e-124,"sham","45361"
"172","inlttmp_indoor","inlttmp_outdoor",0.99,0,"sham","45361"
"173","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","45361"
"174","inlttmp_ratio","inlttmp_outdoor",0.049,9.45e-258,"sham","45361"
"175","concent_indoor","inlttmp_ratio",-0.066,0,"sham","45361"
"176","concent_outdoor","inlttmp_ratio",0.028,4.13e-82,"sham","45361"
"177","concent_ratio","inlttmp_ratio",0.0053,0.000211,"sham","45361"
"178","inlttmp_indoor","inlttmp_ratio",0.17,0,"sham","45361"
"179","inlttmp_outdoor","inlttmp_ratio",0.049,9.45e-258,"sham","45361"
"180","inlttmp_ratio","inlttmp_ratio",1,0,"sham","45361"
"181","concent_indoor","concent_indoor",1,0,"hepa","45361"
"182","concent_outdoor","concent_indoor",0.043,2.59e-204,"hepa","45361"
"183","concent_ratio","concent_indoor",0.88,0,"hepa","45361"
"184","inlttmp_indoor","concent_indoor",0.1,0,"hepa","45361"
"185","inlttmp_outdoor","concent_indoor",0.099,0,"hepa","45361"
"186","inlttmp_ratio","concent_indoor",-0.042,9.86e-193,"hepa","45361"
"187","concent_indoor","concent_outdoor",0.043,2.59e-204,"hepa","45361"
"188","concent_outdoor","concent_outdoor",1,0,"hepa","45361"
"189","concent_ratio","concent_outdoor",-0.093,0,"hepa","45361"
"190","inlttmp_indoor","concent_outdoor",0.01,1.6e-13,"hepa","45361"
"191","inlttmp_outdoor","concent_outdoor",0.018,1.49e-37,"hepa","45361"
"192","inlttmp_ratio","concent_outdoor",-0.079,0,"hepa","45361"
"193","concent_indoor","concent_ratio",0.88,0,"hepa","45361"
"194","concent_outdoor","concent_ratio",-0.093,0,"hepa","45361"
"195","concent_ratio","concent_ratio",1,0,"hepa","45361"
"196","inlttmp_indoor","concent_ratio",0.12,0,"hepa","45361"
"197","inlttmp_outdoor","concent_ratio",0.12,0,"hepa","45361"
"198","inlttmp_ratio","concent_ratio",-0.046,4.13e-237,"hepa","45361"
"199","concent_indoor","inlttmp_indoor",0.1,0,"hepa","45361"
"200","concent_outdoor","inlttmp_indoor",0.01,1.6e-13,"hepa","45361"
"201","concent_ratio","inlttmp_indoor",0.12,0,"hepa","45361"
"202","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","45361"
"203","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","45361"
"204","inlttmp_ratio","inlttmp_indoor",-0.53,0,"hepa","45361"
"205","concent_indoor","inlttmp_outdoor",0.099,0,"hepa","45361"
"206","concent_outdoor","inlttmp_outdoor",0.018,1.49e-37,"hepa","45361"
"207","concent_ratio","inlttmp_outdoor",0.12,0,"hepa","45361"
"208","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","45361"
"209","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","45361"
"210","inlttmp_ratio","inlttmp_outdoor",-0.6,0,"hepa","45361"
"211","concent_indoor","inlttmp_ratio",-0.042,9.86e-193,"hepa","45361"
"212","concent_outdoor","inlttmp_ratio",-0.079,0,"hepa","45361"
"213","concent_ratio","inlttmp_ratio",-0.046,4.13e-237,"hepa","45361"
"214","inlttmp_indoor","inlttmp_ratio",-0.53,0,"hepa","45361"
"215","inlttmp_outdoor","inlttmp_ratio",-0.6,0,"hepa","45361"
"216","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","45361"
"217","concent_indoor","concent_indoor",1,0,"sham","44621"
"218","concent_outdoor","concent_indoor",0.22,0,"sham","44621"
"219","concent_ratio","concent_indoor",0.93,0,"sham","44621"
"220","inlttmp_indoor","concent_indoor",-0.084,0,"sham","44621"
"221","inlttmp_outdoor","concent_indoor",-0.083,0,"sham","44621"
"222","inlttmp_ratio","concent_indoor",-0.017,2.07e-38,"sham","44621"
"223","concent_indoor","concent_outdoor",0.22,0,"sham","44621"
"224","concent_outdoor","concent_outdoor",1,0,"sham","44621"
"225","concent_ratio","concent_outdoor",-0.044,2.39e-257,"sham","44621"
"226","inlttmp_indoor","concent_outdoor",0.035,1.18e-160,"sham","44621"
"227","inlttmp_outdoor","concent_outdoor",0.036,5.46e-167,"sham","44621"
"228","inlttmp_ratio","concent_outdoor",-0.023,3.09e-70,"sham","44621"
"229","concent_indoor","concent_ratio",0.93,0,"sham","44621"
"230","concent_outdoor","concent_ratio",-0.044,2.39e-257,"sham","44621"
"231","concent_ratio","concent_ratio",1,0,"sham","44621"
"232","inlttmp_indoor","concent_ratio",-0.097,0,"sham","44621"
